City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Jhalawar,IN,93.04,overcast clouds,24.6,76.15,Arihant Villa
485,Tutoia,BR,78.3,scattered clouds,-2.76,-42.27,Pousada Guará's
486,Bharatpur,IN,96.8,scattered clouds,27.22,77.48,OYO 22446 Sonar Haveli
487,Uruacu,BR,67.87,clear sky,-14.52,-49.14,Super Pesca iscas vivas
488,Ajaccio,FR,87.8,clear sky,42.0,8.92,Sole E Monte
489,Guerande,FR,70.0,overcast clouds,47.33,-2.43,Best Western Hôtel de la Cité
490,Portel,BR,77.04,clear sky,-1.94,-50.82,Pousada Avenida
491,Cidreira,BR,59.63,few clouds,-30.18,-50.21,Novomar Pousada e Turismo Ltda
492,Tamuin,MX,74.95,clear sky,21.98,-98.75,Hotel Tamuin
493,Karratha,AU,73.72,clear sky,-20.74,116.85,ibis Styles Karratha
494,Kharovsk,RU,64.69,scattered clouds,59.96,40.19,
495,Grants,US,62.6,clear sky,35.15,-107.85,"Motel 6 Grants, NM"
496,Iralaya,HN,79.68,few clouds,15.0,-83.23,Iglesia morava renovada
497,Dharangaon,IN,95.09,scattered clouds,21.02,75.27,Gurukrupa Building
498,Touros,BR,73.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
499,Douentza,ML,90.88,clear sky,15.0,-2.95,Ogomono Doumbo
500,Bara,NG,82.96,light rain,10.37,10.73,
501,Mehamn,NO,50.43,overcast clouds,71.04,27.85,Mehamn Arctic Hotel AS
502,Conceicao Do Mato Dentro,BR,59.63,broken clouds,-19.04,-43.42,Hotel Vista Inn
503,Xining,CN,77.0,overcast clouds,36.62,101.77,Super Leisure Hotel
504,Ust-Maya,RU,63.73,clear sky,60.42,134.53,
505,Xuanhua,CN,81.77,clear sky,40.61,115.04,Jinjiang Inn Zhangjiakou Xuanhua People's Park
506,Saint-Francois,FR,75.2,light rain,46.42,3.91,Manoir Du Bonheur
507,Lata,PT,82.99,few clouds,40.16,-8.33,Casa Maquia
508,Hailey,US,60.8,clear sky,43.52,-114.32,Wood River Inn & Suites
509,Gazanjyk,TM,102.16,clear sky,39.24,55.52,Railway motel
510,Kralendijk,BQ,82.4,light rain,12.15,-68.27,Divi Flamingo Beach Resort & Casino
511,Fez,MA,96.8,broken clouds,34.04,-5.0,Hotel Mounia Fès
512,Ketchikan,US,60.8,moderate rain,55.34,-131.65,Snows Cove Lodge
513,Talas,TR,87.8,few clouds,38.69,35.55,Fimaj Residence
514,Trapani,IT,89.01,clear sky,37.83,12.67,
515,Severomorsk,RU,51.8,broken clouds,69.07,33.42,Apartment on Polyarnaya 4
516,Ossora,RU,53.35,few clouds,59.24,163.07,
517,Bambous Virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
