City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Deputatskiy,RU,2020-07-31 10:20:14,69.3,139.9,56.8,59,3,4.52
90,Berlevag,NO,2020-07-31 10:20:14,70.86,29.09,48.2,93,75,8.05
91,Kilindoni,TZ,2020-07-31 10:20:14,-7.91,39.67,75.97,75,62,20.18
92,Ocos,GT,2020-07-31 10:20:14,14.51,-92.19,78.28,83,0,5.46
93,Sao Joao Da Barra,BR,2020-07-31 10:20:14,-21.64,-41.05,66.2,88,75,11.41
94,Le Port,RE,2020-07-31 10:20:14,-20.94,55.29,77.0,65,90,5.82
95,Airai,TL,2020-07-31 10:20:14,-8.93,125.41,55.35,99,38,2.26
96,Yeppoon,AU,2020-07-31 10:20:15,-23.13,150.73,66.2,63,40,5.82
97,Butaritari,KI,2020-07-31 10:20:15,3.07,172.79,82.69,73,47,2.93
98,Vaini,TO,2020-07-31 10:20:15,-21.2,-175.2,68.0,82,20,10.29
99,Wanaka,NZ,2020-07-31 10:20:15,-44.7,169.15,45.54,80,100,3.69
100,Georgetown,MY,2020-07-31 10:19:13,5.41,100.34,84.2,79,20,3.36
101,Krasnoselkup,RU,2020-07-31 10:20:15,65.7,82.47,67.66,76,87,15.39
102,Wanning,CN,2020-07-31 10:20:16,18.8,110.4,82.38,87,100,13.78
103,Leningradskiy,RU,2020-07-31 10:20:16,69.38,178.42,39.36,88,99,14.03
104,Siniscola,IT,2020-07-31 10:20:16,40.57,9.69,93.2,44,2,10.29
105,Thompson,CA,2020-07-31 10:15:31,55.74,-97.86,62.6,93,20,6.93
106,Cahors,FR,2020-07-31 10:20:16,44.42,1.33,86.0,55,0,5.82
107,Los Llanos De Aridane,ES,2020-07-31 10:20:16,28.66,-17.92,77.0,61,75,10.29
108,Rizhao,CN,2020-07-31 10:20:16,35.43,119.46,77.16,88,94,7.76
109,Tessalit,ML,2020-07-31 10:20:17,20.2,1.01,100.96,9,0,9.22
110,The Valley,AI,2020-07-31 10:20:17,18.22,-63.06,82.4,74,20,11.41
111,Coihaique,CL,2020-07-31 10:20:17,-45.58,-72.07,30.2,92,100,3.36
112,Dakar,SN,2020-07-31 10:19:58,14.69,-17.44,82.4,83,40,9.17
113,Hamilton,US,2020-07-31 10:15:22,39.18,-84.53,70.0,94,90,3.36
114,Ormara,PK,2020-07-31 10:20:17,25.21,64.64,85.55,78,98,13.13
115,Castro,BR,2020-07-31 10:20:17,-24.79,-50.01,48.58,94,82,9.1
116,Maun,BW,2020-07-31 10:20:17,-19.98,23.42,77.0,22,0,16.11
117,Tanout,NE,2020-07-31 10:20:18,14.97,8.89,92.16,39,6,9.66
118,Podgornoye,RU,2020-07-31 10:15:23,51.73,39.15,77.0,36,40,6.71
119,Kavieng,PG,2020-07-31 10:20:18,-2.57,150.8,83.26,76,99,6.89
120,Plettenberg Bay,ZA,2020-07-31 10:20:18,-34.05,23.37,66.42,46,0,3.0
121,Ponta Do Sol,PT,2020-07-31 10:20:18,32.67,-17.1,72.0,66,0,1.25
122,Batticaloa,LK,2020-07-31 10:20:18,7.71,81.69,88.07,61,51,9.4
123,Saint Augustine,US,2020-07-31 10:20:18,29.89,-81.31,75.99,94,1,3.36
124,Chuy,UY,2020-07-31 10:20:19,-33.7,-53.46,45.61,94,27,5.44
125,Garissa,KE,2020-07-31 10:20:20,-0.45,39.64,90.9,40,62,20.58
126,Swanzey,US,2020-07-31 10:20:20,42.87,-72.28,60.01,100,90,3.36
127,Tura,IN,2020-07-31 10:20:20,25.52,90.22,81.1,90,100,3.42
128,Jauja,PE,2020-07-31 10:20:21,-11.78,-75.5,41.27,79,53,1.41
129,Hofn,IS,2020-07-31 10:20:21,64.25,-15.21,51.8,81,90,19.46
130,East London,ZA,2020-07-31 10:20:21,-33.02,27.91,69.8,46,0,3.36
131,Pacific Grove,US,2020-07-31 10:15:43,36.62,-121.92,57.0,96,35,3.85
132,Yellowknife,CA,2020-07-31 10:20:21,62.46,-114.35,57.0,87,20,2.24
133,Ahmadpur,IN,2020-07-31 10:20:21,18.7,76.93,87.85,62,92,6.29
134,Nagato,JP,2020-07-31 10:20:21,34.38,131.2,84.2,74,40,10.29
135,Kruisfontein,ZA,2020-07-31 10:20:21,-34.0,24.73,68.97,39,0,1.45
136,Bethel,US,2020-07-31 10:20:21,41.37,-73.41,69.8,88,40,3.36
137,Nabire,ID,2020-07-31 10:20:22,-3.37,135.48,79.02,80,74,1.52
138,Batsfjord,NO,2020-07-31 10:20:22,70.63,29.72,48.2,100,75,9.17
139,Kodiak,US,2020-07-31 10:20:22,57.79,-152.41,55.4,93,90,4.7
140,Punta Arenas,CL,2020-07-31 10:20:22,-53.15,-70.92,37.4,93,100,17.22
141,Kathu,TH,2020-07-31 10:20:22,7.92,98.33,82.99,78,75,12.75
142,Olinda,BR,2020-07-31 10:20:22,-8.01,-34.86,71.6,94,75,4.7
143,Agadez,NE,2020-07-31 10:20:22,19.75,10.25,99.61,11,21,4.92
144,Severo-Kurilsk,RU,2020-07-31 10:20:23,50.68,156.12,51.57,82,25,18.3
145,Mahon,ES,2020-07-31 10:20:23,39.89,4.27,89.6,38,12,12.75
146,Portland,US,2020-07-31 10:15:56,45.52,-122.68,70.0,52,75,2.64
147,Norman Wells,CA,2020-07-31 10:20:23,65.28,-126.83,55.4,87,5,3.36
148,Aykhal,RU,2020-07-31 10:20:23,66.0,111.5,73.4,27,0,4.47
